,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
a,0.38709927,7.23E-01,1.00000261,1.52E+00,5.202887,9.54E+00,19.18916464,3.01E+01,39.48211675
aDot,3.70E-07,3.90E-06,5.62E-06,1.85E-05,-0.00011607,-0.0012506,-0.00196176,0.00026291,-0.00031596
e,0.20563593,6.78E-03,0.01671123,9.34E-02,0.04838624,5.39E-02,0.04725744,8.59E-03,0.2488273,
eDot,1.91E-05,-4.11E-05,-4.39E-05,7.88E-05,-0.00013253,-0.00050991,-4.40E-05,5.11E-05,5.17E-05,
i,7.00497902,3.39467605,-1.53E-05,1.84969142,1.30E+00,2.48599187,0.77263783,1.77004347,17.14001206
iDot,-0.00594749,-0.0007889,-0.01294668,-0.00813131,-0.00183714,0.00193609,-0.00242939,0.00035372,4.82E-05
l,252.2503235,181.9790995,100.4645717,-4.55343205,34.39644051,49.95424423,313.2381045,-55.12002969,238.9290383
lDot,149472.6741,58517.81539,35999.37245,19140.30268,3034.746128,1222.493622,428.4820279,218.4594533,145.2078052
longPeri,77.45779628,131.6024672,102.9376819,-23.94362959,14.72847983,92.59887831,170.9542763,44.96476227,224.0689163
longPeriDot,0.16047689,0.00268329,0.32327364,0.44441088,0.21252668,-0.41897216,0.40805281,-0.32241464,-0.04062942
longNode,48.33076593,76.67984255,0,49.55953891,100.4739091,113.6624245,74.01692503,131.7842257,110.3039368
longNodeDot,-0.12534081,-0.27769418,0,-0.29257343,0.20469106,-0.28867794,0.04240589,-0.00508664,-0.01183482